address,bedrooms,type,transaction_prices,transaction_dates,tenure,newBuild,locationLat,locationLng,url
"453, Alma Road, Enfield, Greater London EN3 7RT",3.0,TERRACED,"£450,000",11 Oct 2024,FREEHOLD,False,51.65381,-0.03501,https://www.rightmove.co.uk/house-prices/details/england-150426485-94290342?s=f3b058aac66470310bd9fe8771afce791a1a78be1aff9921588cee8e39b52862
"Flat 19, Montfort House, 26, Victoria Park Square, London, Greater London E2 9PG",,FLAT,"£450,000",11 Oct 2024,LEASEHOLD,False,51.52904,-0.0538,https://www.rightmove.co.uk/house-prices/details/england-94287783?s=201ee69a1408193f7cd05e537358a38627356ed681ebe674f7819160a6571ea5
"Flat 19, Montfort House, 26, Victoria Park Square, London, Greater London E2 9PG",,FLAT,"£448,000",16 Mar 2018,LEASEHOLD,False,51.52904,-0.0538,https://www.rightmove.co.uk/house-prices/details/england-94287783?s=201ee69a1408193f7cd05e537358a38627356ed681ebe674f7819160a6571ea5
"Flat 19, Montfort House, 26, Victoria Park Square, London, Greater London E2 9PG",,FLAT,"£233,000",10 Sep 2010,LEASEHOLD,False,51.52904,-0.0538,https://www.rightmove.co.uk/house-prices/details/england-94287783?s=201ee69a1408193f7cd05e537358a38627356ed681ebe674f7819160a6571ea5
"Flat 19, Montfort House, 26, Victoria Park Square, London, Greater London E2 9PG",,FLAT,"£167,500",3 Jul 2003,LEASEHOLD,False,51.52904,-0.0538,https://www.rightmove.co.uk/house-prices/details/england-94287783?s=201ee69a1408193f7cd05e537358a38627356ed681ebe674f7819160a6571ea5
"Flat 19, Montfort House, 26, Victoria Park Square, London, Greater London E2 9PG",,FLAT,"£140,000",30 Apr 2002,LEASEHOLD,False,51.52904,-0.0538,https://www.rightmove.co.uk/house-prices/details/england-94287783?s=201ee69a1408193f7cd05e537358a38627356ed681ebe674f7819160a6571ea5
"20, Norcutt Road, Twickenham, Greater London TW2 6SR",2.0,TERRACED,"£642,500",11 Oct 2024,FREEHOLD,False,51.44677,-0.34123,https://www.rightmove.co.uk/house-prices/details/england-153831908-94499946?s=e21f2bbcadbdd3335ae999c6bcd9f9d10aead881eafa6d1e00f86f4e3402bd7d
"20, Norcutt Road, Twickenham, Greater London TW2 6SR",2.0,TERRACED,"£528,500",19 Feb 2016,FREEHOLD,False,51.44677,-0.34123,https://www.rightmove.co.uk/house-prices/details/england-153831908-94499946?s=e21f2bbcadbdd3335ae999c6bcd9f9d10aead881eafa6d1e00f86f4e3402bd7d
"20, Norcutt Road, Twickenham, Greater London TW2 6SR",2.0,TERRACED,"£325,000",22 Jul 2011,FREEHOLD,False,51.44677,-0.34123,https://www.rightmove.co.uk/house-prices/details/england-153831908-94499946?s=e21f2bbcadbdd3335ae999c6bcd9f9d10aead881eafa6d1e00f86f4e3402bd7d
"20, Norcutt Road, Twickenham, Greater London TW2 6SR",2.0,TERRACED,"£130,000",8 Apr 1999,FREEHOLD,False,51.44677,-0.34123,https://www.rightmove.co.uk/house-prices/details/england-153831908-94499946?s=e21f2bbcadbdd3335ae999c6bcd9f9d10aead881eafa6d1e00f86f4e3402bd7d
"54, Birch Road, Romford, Greater London RM7 8EP",3.0,TERRACED,"£537,000",11 Oct 2024,FREEHOLD,False,51.58727,0.15931,https://www.rightmove.co.uk/house-prices/details/england-147487676-94431606?s=922ddbd6a7a72075db3d110b668d0d5b29705d8e39e4eb88919f01ac9ec42918
"54, Birch Road, Romford, Greater London RM7 8EP",3.0,TERRACED,"£166,000",25 Feb 2005,FREEHOLD,False,51.58727,0.15931,https://www.rightmove.co.uk/house-prices/details/england-147487676-94431606?s=922ddbd6a7a72075db3d110b668d0d5b29705d8e39e4eb88919f01ac9ec42918
"54, Birch Road, Romford, Greater London RM7 8EP",3.0,TERRACED,"£76,500",1 May 1998,FREEHOLD,False,51.58727,0.15931,https://www.rightmove.co.uk/house-prices/details/england-147487676-94431606?s=922ddbd6a7a72075db3d110b668d0d5b29705d8e39e4eb88919f01ac9ec42918
"39a, Richards Avenue, Romford, Greater London RM7 9ES",3.0,FLAT,"£325,000",11 Oct 2024,LEASEHOLD,False,51.57496,0.16825,https://www.rightmove.co.uk/house-prices/details/england-59454377-94431651?s=f106a0b375249e4a076628b479a99f5f85f554145a0943059127048692d12316
"39a, Richards Avenue, Romford, Greater London RM7 9ES",3.0,FLAT,"£260,000",30 May 2019,LEASEHOLD,False,51.57496,0.16825,https://www.rightmove.co.uk/house-prices/details/england-59454377-94431651?s=f106a0b375249e4a076628b479a99f5f85f554145a0943059127048692d12316
"8, Green Dale Close, London, Greater London SE22 8TG",3.0,TERRACED,"£840,000",11 Oct 2024,LEASEHOLD,False,51.45608,-0.08497,https://www.rightmove.co.uk/house-prices/details/england-145892615-94445793?s=d193515e9c47a265abdb64c41d1b4e1c3bb898ed5668bb5aeb86d9f7feaf02c0
"8, Green Dale Close, London, Greater London SE22 8TG",3.0,TERRACED,"£310,000",10 Feb 2011,LEASEHOLD,False,51.45608,-0.08497,https://www.rightmove.co.uk/house-prices/details/england-145892615-94445793?s=d193515e9c47a265abdb64c41d1b4e1c3bb898ed5668bb5aeb86d9f7feaf02c0
"224, New Cross Road, London, Greater London SE14 5PL",4.0,TERRACED,"£895,000",11 Oct 2024,FREEHOLD,False,51.47442,-0.04101,https://www.rightmove.co.uk/house-prices/details/england-147511838-94444233?s=9a30645c4a4c19004c540dfbcaba810b9ea566d19e8927d6ad60e8a8115968bd
"19, Peterborough Road, Carshalton, Greater London SM5 1EE",3.0,TERRACED,"£400,000",11 Oct 2024,FREEHOLD,False,51.39069,-0.17452,https://www.rightmove.co.uk/house-prices/details/england-149568956-94457055?s=0d49d83f051035619a274e5a7d44f04dd3aa2784f0d8a8062caf0609cef4c56e
"19, Peterborough Road, Carshalton, Greater London SM5 1EE",3.0,TERRACED,"£57,900",17 Nov 1995,FREEHOLD,False,51.39069,-0.17452,https://www.rightmove.co.uk/house-prices/details/england-149568956-94457055?s=0d49d83f051035619a274e5a7d44f04dd3aa2784f0d8a8062caf0609cef4c56e
"Flat 9, 64, Westbourne Terrace, London, Greater London W2 3UJ",,FLAT,"£1,125,000",11 Oct 2024,LEASEHOLD,False,51.51496,-0.17936,https://www.rightmove.co.uk/house-prices/details/england-94503153?s=02502604e5acc37ca82d5be1436c029d3fe1dafd8771303e401b24e24e9574d1
"52, Ormond Crescent, Hampton, Greater London TW12 2TH",5.0,DETACHED,"£2,200,000",11 Oct 2024,FREEHOLD,False,51.41731,-0.36315,https://www.rightmove.co.uk/house-prices/details/england-59949815-94498908?s=a947f67507ac6d3baf6193234e8596a014235d7d0627978f97b1248596ff3e86
"52, Ormond Crescent, Hampton, Greater London TW12 2TH",5.0,DETACHED,"£1,925,000",14 Sep 2016,FREEHOLD,False,51.41731,-0.36315,https://www.rightmove.co.uk/house-prices/details/england-59949815-94498908?s=a947f67507ac6d3baf6193234e8596a014235d7d0627978f97b1248596ff3e86
"52, Ormond Crescent, Hampton, Greater London TW12 2TH",5.0,DETACHED,"£1,250,000",14 Oct 2011,FREEHOLD,False,51.41731,-0.36315,https://www.rightmove.co.uk/house-prices/details/england-59949815-94498908?s=a947f67507ac6d3baf6193234e8596a014235d7d0627978f97b1248596ff3e86
"23, Marlborough Crescent, London, Greater London W4 1HE",4.0,TERRACED,"£1,950,000",11 Oct 2024,FREEHOLD,False,51.49818,-0.25869,https://www.rightmove.co.uk/house-prices/details/england-148447733-94503615?s=18b3ff26a0d786573db44c0cb89cd0b22bd1c6dcb4b95d18eed507503cc2a547
